Country,client_ip,protocol,time1,server_port
LK,220.247.207.182,TCP,2018-03-30 06:53:12,2009
LK,220.247.207.182,TCP,2018-03-30 06:45:42,2009
LK,124.43.28.18,TCP,2018-03-30 00:58:20,8000
LK,124.43.28.18,TCP,2018-03-30 00:22:01,8000
LK,220.247.207.182,TCP,2018-03-30 03:51:45,2009
LK,220.247.207.182,TCP,2018-03-29 17:31:32,2009
LK,124.43.28.18,TCP,2018-03-30 01:55:06,8080
LK,220.247.207.182,TCP,2018-03-29 17:40:04,2009
LK,124.43.28.18,TCP,2018-03-30 02:51:23,8080
LK,220.247.207.182,TCP,2018-03-29 16:43:34,2009
LK,124.43.28.18,TCP,2018-03-29 20:56:10,8000
LK,112.134.181.156,TCP,2018-03-30 05:02:04,2009
LK,220.247.207.182,TCP,2018-03-29 17:52:54,2009
LK,124.43.28.18,TCP,2018-03-29 22:53:13,8000
LK,124.43.28.18,TCP,2018-03-29 21:44:36,8000
LK,124.43.28.18,TCP,2018-03-30 00:50:15,8000
LK,124.43.28.18,TCP,2018-03-30 00:13:56,8000
LK,220.247.207.182,TCP,2018-03-30 06:55:20,2009
LK,220.247.207.182,TCP,2018-03-30 06:52:07,2009
LK,124.43.28.18,TCP,2018-03-29 18:50:41,8080
LK,124.43.28.18,TCP,2018-03-29 23:57:47,8000
LK,124.43.28.18,TCP,2018-03-29 23:41:39,8000
LK,112.134.91.111,TCP,2018-03-30 04:54:46,2009
LK,112.134.91.111,TCP,2018-03-30 04:50:30,2009
LK,112.134.91.111,TCP,2018-03-30 04:20:01,2009
LK,220.247.207.182,TCP,2018-03-30 01:56:13,2009
LK,124.43.28.18,TCP,2018-03-30 01:58:53,8000
LK,124.43.28.18,TCP,2018-03-30 01:10:27,8000
LK,220.247.207.182,TCP,2018-03-30 01:29:53,2009
LK,112.134.91.111,TCP,2018-03-30 05:53:58,2009
LK,124.43.28.18,TCP,2018-03-29 17:34:21,8000
LK,112.134.181.156,TCP,2018-03-30 05:50:27,2009
LK,220.247.207.182,TCP,2018-03-30 05:13:29,2009
LK,124.43.28.18,TCP,2018-03-29 20:50:58,8080
LK,220.247.207.182,TCP,2018-03-29 20:54:06,2009
LK,124.43.28.18,TCP,2018-03-29 20:40:01,8000
LK,124.43.28.18,TCP,2018-03-29 20:15:49,8000
LK,124.43.28.18,TCP,2018-03-30 06:54:54,8080
LK,220.247.207.182,TCP,2018-03-29 18:53:41,2009
LK,124.43.28.18,TCP,2018-03-29 18:55:05,8000
LK,124.43.28.18,TCP,2018-03-29 18:47:01,8000
LK,124.43.28.18,TCP,2018-03-29 18:14:44,8000
LK,124.43.28.18,TCP,2018-03-29 16:45:56,8000
LK,124.43.28.18,TCP,2018-03-29 16:21:42,8000
