Country,client_ip,protocol,time1,server_port
LK,124.43.28.18,TCP,2018-03-31 13:21:38,8080
LK,124.43.28.18,TCP,2018-03-30 22:51:08,8080
LK,124.43.28.18,TCP,2018-03-31 12:45:11,8000
LK,124.43.28.18,TCP,2018-03-31 12:37:06,8000
LK,124.43.28.18,TCP,2018-03-31 02:57:16,8000
LK,124.43.28.18,TCP,2018-03-31 02:38:57,8000
LK,124.43.28.18,TCP,2018-03-31 02:02:35,8000
LK,112.135.115.157,TCP,2018-03-31 09:53:41,8080
LK,124.43.28.18,TCP,2018-03-31 05:53:12,8080
LK,124.43.28.18,TCP,2018-03-31 00:50:37,8080
LK,124.43.28.18,TCP,2018-03-30 18:10:17,8000
LK,124.43.28.18,TCP,2018-03-30 17:50:06,8000
LK,124.43.28.18,TCP,2018-03-30 17:46:04,8000
LK,112.134.91.241,TCP,2018-03-31 11:51:02,2009
LK,124.43.28.18,TCP,2018-03-31 12:12:53,8000
LK,124.43.28.18,TCP,2018-03-31 02:30:53,8000
LK,220.247.207.182,TCP,2018-03-30 23:42:42,2009
LK,112.134.94.223,TCP,2018-03-31 10:51:45,2009
LK,124.43.28.18,TCP,2018-03-31 08:42:48,8000
LK,124.43.28.18,TCP,2018-03-31 08:30:41,8000
LK,124.43.28.18,TCP,2018-03-31 07:58:21,8000
LK,124.43.28.18,TCP,2018-03-31 07:42:13,8000
LK,220.247.207.182,TCP,2018-03-31 05:10:55,2009
LK,220.247.207.182,TCP,2018-03-31 05:02:09,2009
LK,124.43.28.18,TCP,2018-03-30 21:52:16,8000
LK,124.43.28.18,TCP,2018-03-30 21:19:59,8000
LK,124.43.28.18,TCP,2018-03-30 21:51:04,8080
LK,124.43.28.18,TCP,2018-03-31 07:53:41,8080
LK,124.43.28.18,TCP,2018-03-30 19:26:59,8000
LK,124.43.28.18,TCP,2018-03-30 19:18:54,8000
LK,220.247.207.182,TCP,2018-03-30 16:49:11,2009
LK,124.43.28.18,TCP,2018-03-30 19:02:46,1
LK,124.43.28.18,TCP,2018-03-31 09:59:36,8000
LK,124.43.28.18,TCP,2018-03-31 09:51:32,8000
LK,124.43.28.18,TCP,2018-03-31 03:53:50,8000
LK,124.43.28.18,TCP,2018-03-31 03:41:41,8000
LK,112.134.94.223,TCP,2018-03-31 09:24:24,2009
LK,220.247.207.182,TCP,2018-03-30 22:57:33,2009
LK,220.247.207.182,TCP,2018-03-30 22:49:11,2009
LK,124.43.28.18,TCP,2018-03-31 14:34:09,8000
LK,124.43.28.18,TCP,2018-03-31 14:22:03,8000
LK,124.43.28.18,TCP,2018-03-31 00:57:59,8000
LK,124.43.28.18,TCP,2018-03-31 00:17:38,8000
LK,220.247.207.182,TCP,2018-03-30 19:24:20,2009
LK,124.43.28.18,TCP,2018-03-30 20:23:29,8000
LK,124.43.28.18,TCP,2018-03-30 22:56:51,8000
LK,124.43.28.18,TCP,2018-03-31 10:50:34,8080
LK,124.43.28.18,TCP,2018-03-30 16:57:38,8000
LK,124.43.28.18,TCP,2018-03-30 16:25:20,8000
LK,124.43.28.18,TCP,2018-03-31 10:56:11,8000
LK,124.43.28.18,TCP,2018-03-31 03:33:35,8000
LK,112.134.91.241,TCP,2018-03-31 14:51:47,2009
LK,220.247.207.182,TCP,2018-03-30 22:17:11,2009
LK,124.43.28.18,TCP,2018-03-31 14:09:56,8000
LK,124.43.28.18,TCP,2018-03-31 09:47:30,8000
LK,112.134.91.241,TCP,2018-03-31 12:44:38,2009
LK,124.43.28.18,TCP,2018-03-30 19:59:16,8000
LK,124.43.28.18,TCP,2018-03-31 01:52:52,8080
LK,124.43.28.18,TCP,2018-03-31 05:50:55,8000
LK,124.43.28.18,TCP,2018-03-31 05:14:35,8000
LK,124.43.28.18,TCP,2018-03-31 02:53:12,8080
LK,124.43.28.18,TCP,2018-03-30 22:52:49,8000
LK,124.43.28.18,TCP,2018-03-31 00:41:50,8000
LK,112.134.91.241,TCP,2018-03-31 13:51:20,2009
LK,220.247.207.182,TCP,2018-03-30 20:51:15,2009
LK,220.247.207.182,TCP,2018-03-30 20:11:35,2009
LK,124.43.28.18,TCP,2018-03-30 16:37:27,8000
LK,124.43.28.18,TCP,2018-03-31 13:52:28,8080
LK,220.247.207.182,TCP,2018-03-30 19:36:32,2009
LK,124.43.28.18,TCP,2018-03-30 20:03:18,8000
LK,124.43.28.18,TCP,2018-03-30 20:50:07,8080
LK,124.43.28.18,TCP,2018-03-31 08:22:40,8000
LK,124.43.28.18,TCP,2018-03-31 11:56:44,8000
LK,124.43.28.18,TCP,2018-03-31 11:24:26,8000
LK,124.43.28.18,TCP,2018-03-30 17:51:30,8080
LK,124.43.28.18,TCP,2018-03-30 18:50:39,8000
LK,124.43.28.18,TCP,2018-03-31 04:51:44,8080
LK,124.43.28.18,TCP,2018-03-31 14:50:20,8080
LK,112.134.91.241,TCP,2018-03-31 11:57:00,2009
LK,124.43.28.18,TCP,2018-03-30 23:53:24,8000
LK,124.43.28.18,TCP,2018-03-30 23:49:23,8000
LK,124.43.28.18,TCP,2018-03-30 23:41:19,8000
LK,124.43.28.18,TCP,2018-03-30 23:21:05,8000
LK,124.43.28.18,TCP,2018-03-31 12:53:15,8000
LK,124.43.28.18,TCP,2018-03-31 02:53:15,8000
LK,220.247.207.182,TCP,2018-03-30 18:42:44,2009
